datetime,target_code,bar_idx
2022-07-12,,0
2022-07-13,,1
2022-07-14,513090,2
2022-07-15,,3
2022-07-18,,4
2022-07-19,,5
2022-07-20,,6
2022-07-21,,7
2022-07-22,,8
2022-07-25,513090,9
2022-07-26,513090,10
2022-07-27,,11
2022-07-28,513090,12
2022-07-29,513090,13
2022-08-01,,14
2022-08-02,513090,15
2022-08-03,513090,16
2022-08-04,513090,17
2022-08-05,513090,18
2022-08-08,,19
2022-08-09,,20
2022-08-10,,21
2022-08-11,,22
2022-08-12,,23
2022-08-15,,24
2022-08-16,513090,25
2022-08-17,513090,26
2022-08-18,513090,27
2022-08-19,513090,28
2022-08-22,513090,29
2022-08-23,513090,30
2022-08-24,513090,31
2022-08-25,,32
2022-08-26,513090,33
2022-08-29,,34
2022-08-30,513090,35
2022-08-31,513090,36
2022-09-01,513090,37
2022-09-02,513090,38
2022-09-05,513090,39
2022-09-06,513090,40
2022-09-07,513090,41
2022-09-08,513090,42
2022-09-09,513090,43
2022-09-13,513090,44
2022-09-14,513090,45
2022-09-15,513090,46
2022-09-16,513090,47
2022-09-19,513090,48
2022-09-20,513090,49
2022-09-21,,50
2022-09-22,513090,51
2022-09-23,,52
2022-09-26,,53
2022-09-27,,54
2022-09-28,,55
2022-09-29,,56
2022-09-30,,57
2022-10-10,,58
2022-10-11,,59
2022-10-12,,60
2022-10-13,,61
2022-10-14,,62
2022-10-17,,63
2022-10-18,,64
2022-10-19,,65
2022-10-20,,66
2022-10-21,513090,67
2022-10-24,513090,68
2022-10-25,513090,69
2022-10-26,,70
2022-10-27,,71
2022-10-28,,72
2022-10-31,,73
2022-11-01,,74
2022-11-02,,75
2022-11-03,,76
2022-11-04,,77
2022-11-07,,78
2022-11-08,,79
2022-11-09,,80
2022-11-10,,81
2022-11-11,513090,82
2022-11-14,513090,83
2022-11-15,513090,84
2022-11-16,,85
2022-11-17,,86
2022-11-18,,87
2022-11-21,513090,88
2022-11-22,513090,89
2022-11-23,513090,90
2022-11-24,513090,91
2022-11-25,513090,92
2022-11-28,513090,93
2022-11-29,513090,94
2022-11-30,513090,95
2022-12-01,513090,96
2022-12-02,513090,97
2022-12-05,513090,98
2022-12-06,513090,99
2022-12-07,513090,100
2022-12-08,513090,101
2022-12-09,,102
2022-12-12,513090,103
2022-12-13,,104
2022-12-14,513090,105
2022-12-15,,106
2022-12-16,513090,107
2022-12-19,,108
2022-12-20,513090,109
2022-12-21,,110
2022-12-22,,111
2022-12-23,,112
2022-12-26,,113
2022-12-27,,114
2022-12-28,,115
2022-12-29,,116
2022-12-30,513090,117
2023-01-03,513090,118
2023-01-04,513090,119
2023-01-05,513090,120
2023-01-06,513090,121
2023-01-09,513090,122
2023-01-10,513090,123
2023-01-11,513090,124
2023-01-12,513090,125
2023-01-13,513090,126
2023-01-16,513090,127
2023-01-17,513090,128
2023-01-18,513090,129
2023-01-19,513090,130
2023-01-20,513090,131
2023-01-30,513090,132
2023-01-31,513090,133
2023-02-01,513090,134
2023-02-02,513090,135
2023-02-03,513090,136
2023-02-06,,137
2023-02-07,,138
2023-02-08,,139
2023-02-09,,140
2023-02-10,,141
2023-02-13,,142
2023-02-14,,143
2023-02-15,,144
2023-02-16,,145
2023-02-17,,146
2023-02-20,,147
2023-02-21,,148
2023-02-22,,149
2023-02-23,,150
2023-02-24,,151
2023-02-27,,152
2023-02-28,513090,153
2023-03-01,513090,154
2023-03-02,513090,155
2023-03-03,513090,156
2023-03-06,513090,157
2023-03-07,513090,158
2023-03-08,513090,159
2023-03-09,513090,160
2023-03-10,513090,161
2023-03-13,513090,162
2023-03-14,513090,163
2023-03-15,513090,164
2023-03-16,,165
2023-03-17,,166
2023-03-20,,167
2023-03-21,,168
2023-03-22,,169
2023-03-23,,170
2023-03-24,513090,171
2023-03-27,,172
2023-03-28,,173
2023-03-29,513090,174
2023-03-30,513090,175
2023-03-31,,176
2023-04-03,513090,177
2023-04-04,513090,178
2023-04-06,513120,179
2023-04-07,,180
2023-04-10,513090,181
2023-04-11,513090,182
2023-04-12,513090,183
2023-04-13,513090,184
2023-04-14,513090,185
2023-04-17,513120,186
2023-04-18,513090,187
2023-04-19,513090,188
2023-04-20,513120,189
2023-04-21,513120,190
2023-04-24,513090,191
2023-04-25,513090,192
2023-04-26,,193
2023-04-27,513090,194
2023-04-28,,195
2023-05-04,,196
2023-05-05,,197
2023-05-08,,198
2023-05-09,,199
2023-05-10,,200
2023-05-11,,201
2023-05-12,513120,202
2023-05-15,513120,203
2023-05-16,513090,204
2023-05-17,,205
2023-05-18,513120,206
2023-05-19,,207
2023-05-22,,208
2023-05-23,513120,209
2023-05-24,,210
2023-05-25,513090,211
2023-05-26,,212
2023-05-29,513120,213
2023-05-30,513120,214
2023-05-31,513120,215
2023-06-01,513120,216
2023-06-02,,217
2023-06-05,,218
2023-06-06,,219
2023-06-07,,220
2023-06-08,513090,221
2023-06-09,513120,222
2023-06-12,513120,223
2023-06-13,513090,224
2023-06-14,513120,225
2023-06-15,513090,226
2023-06-16,513090,227
2023-06-19,513090,228
2023-06-20,513090,229
2023-06-21,513090,230
2023-06-26,513090,231
2023-06-27,513090,232
2023-06-28,513090,233
2023-06-29,513090,234
2023-06-30,513090,235
2023-07-03,,236
2023-07-04,,237
2023-07-05,,238
2023-07-06,,239
2023-07-07,513090,240
2023-07-10,513090,241
2023-07-11,513090,242
2023-07-12,513090,243
2023-07-13,513120,244
2023-07-14,,245
2023-07-17,,246
2023-07-18,,247
2023-07-19,,248
2023-07-20,513120,249
2023-07-21,513120,250
2023-07-24,513120,251
2023-07-25,513120,252
2023-07-26,513120,253
2023-07-27,513120,254
2023-07-28,513120,255
2023-07-31,513120,256
2023-08-01,513120,257
2023-08-02,513120,258
2023-08-03,513120,259
2023-08-04,513090,260
2023-08-07,513090,261
2023-08-08,513120,262
2023-08-09,,263
2023-08-10,513090,264
2023-08-11,,265
2023-08-14,,266
2023-08-15,,267
2023-08-16,,268
2023-08-17,,269
2023-08-18,,270
2023-08-21,,271
2023-08-22,,272
2023-08-23,,273
2023-08-24,,274
2023-08-25,,275
2023-08-28,,276
2023-08-29,,277
2023-08-30,,278
2023-08-31,,279
2023-09-01,,280
2023-09-04,513120,281
2023-09-05,513120,282
2023-09-06,513120,283
2023-09-07,513120,284
2023-09-08,513120,285
2023-09-11,513120,286
2023-09-12,513120,287
2023-09-13,513090,288
2023-09-14,513090,289
2023-09-15,513120,290
2023-09-18,513090,291
2023-09-19,513090,292
2023-09-20,513090,293
2023-09-21,513090,294
2023-09-22,513120,295
2023-09-25,513120,296
2023-09-26,513120,297
2023-09-27,513120,298
2023-09-28,513090,299
2023-10-09,513090,300
2023-10-10,513090,301
2023-10-11,513090,302
2023-10-12,513090,303
2023-10-13,513120,304
2023-10-16,,305
2023-10-17,,306
2023-10-18,513120,307
2023-10-19,513090,308
2023-10-20,513090,309
2023-10-23,,310
2023-10-24,513090,311
2023-10-25,513090,312
2023-10-26,,313
2023-10-27,,314
2023-10-30,,315
2023-10-31,513090,316
2023-11-01,513090,317
2023-11-02,,318
2023-11-03,513090,319
2023-11-06,513120,320
2023-11-07,513120,321
2023-11-08,513120,322
2023-11-09,,323
2023-11-10,513090,324
2023-11-13,513090,325
2023-11-14,513090,326
2023-11-15,513090,327
2023-11-16,513090,328
2023-11-17,513090,329
2023-11-20,513090,330
2023-11-21,513090,331
2023-11-22,513090,332
2023-11-23,513090,333
2023-11-24,513090,334
2023-11-27,513090,335
2023-11-28,513120,336
2023-11-29,,337
2023-11-30,,338
2023-12-01,,339
2023-12-04,513120,340
2023-12-05,513090,341
2023-12-06,513120,342
2023-12-07,513120,343
2023-12-08,513120,344
2023-12-11,,345
2023-12-12,,346
2023-12-13,,347
2023-12-14,,348
2023-12-15,,349
2023-12-18,,350
2023-12-19,513090,351
2023-12-20,,352
2023-12-21,513120,353
2023-12-22,513090,354
2023-12-25,,355
2023-12-26,,356
2023-12-27,513090,357
2023-12-28,513090,358
2023-12-29,,359
2024-01-02,513120,360
2024-01-03,513120,361
2024-01-04,513120,362
2024-01-05,513120,363
2024-01-08,513120,364
2024-01-09,513120,365
2024-01-10,513090,366
2024-01-11,513120,367
2024-01-12,513090,368
2024-01-15,,369
2024-01-16,513090,370
2024-01-17,513120,371
2024-01-18,513120,372
2024-01-19,,373
2024-01-22,513120,374
2024-01-23,,375
2024-01-24,,376
2024-01-25,,377
2024-01-26,,378
2024-01-29,,379
2024-01-30,,380
2024-01-31,,381
2024-02-01,,382
2024-02-02,,383
2024-02-05,513090,384
2024-02-06,,385
2024-02-07,,386
2024-02-08,,387
2024-02-19,,388
2024-02-20,,389
2024-02-21,513090,390
2024-02-22,513090,391
2024-02-23,513090,392
2024-02-26,513120,393
2024-02-27,513120,394
2024-02-28,513090,395
2024-02-29,513090,396
2024-03-01,513090,397
2024-03-04,513120,398
2024-03-05,513120,399
2024-03-06,513120,400
2024-03-07,513120,401
2024-03-08,513120,402
2024-03-11,513120,403
2024-03-12,513120,404
2024-03-13,513120,405
2024-03-14,513120,406
2024-03-15,513120,407
2024-03-18,513090,408
2024-03-19,513120,409
2024-03-20,513120,410
2024-03-21,513120,411
2024-03-22,513120,412
2024-03-25,513090,413
2024-03-26,,414
2024-03-27,,415
2024-03-28,513090,416
2024-03-29,,417
2024-04-01,,418
2024-04-02,,419
2024-04-03,,420
2024-04-08,513120,421
2024-04-09,513120,422
2024-04-10,513120,423
2024-04-11,513120,424
2024-04-12,159516,425
2024-04-15,513120,426
2024-04-16,513120,427
2024-04-17,513120,428
2024-04-18,513120,429
2024-04-19,513120,430
2024-04-22,513120,431
2024-04-23,,432
2024-04-24,513090,433
2024-04-25,513090,434
2024-04-26,,435
2024-04-29,513090,436
2024-04-30,,437
2024-05-06,,438
2024-05-07,,439
2024-05-08,513090,440
2024-05-09,159516,441
2024-05-10,159516,442
2024-05-13,159516,443
2024-05-14,159516,444
2024-05-15,159516,445
2024-05-16,513120,446
2024-05-17,513120,447
2024-05-20,513120,448
2024-05-21,513120,449
2024-05-22,159516,450
2024-05-23,159516,451
2024-05-24,159516,452
2024-05-27,159516,453
2024-05-28,159516,454
2024-05-29,,455
2024-05-30,,456
2024-05-31,,457
2024-06-03,159516,458
2024-06-04,159516,459
2024-06-05,,460
2024-06-06,159516,461
2024-06-07,159516,462
2024-06-11,159516,463
2024-06-12,159516,464
2024-06-13,159516,465
2024-06-14,159516,466
2024-06-17,159516,467
2024-06-18,159516,468
2024-06-19,159516,469
2024-06-20,159516,470
2024-06-21,513120,471
2024-06-24,513120,472
2024-06-25,513120,473
2024-06-26,513120,474
2024-06-27,513120,475
2024-06-28,513120,476
2024-07-01,513120,477
2024-07-02,513120,478
2024-07-03,513120,479
2024-07-04,513120,480
2024-07-05,513120,481
2024-07-08,,482
2024-07-09,513090,483
2024-07-10,513090,484
2024-07-11,513090,485
2024-07-12,,486
2024-07-15,,487
2024-07-16,,488
2024-07-17,159516,489
2024-07-18,513120,490
2024-07-19,513090,491
2024-07-22,513090,492
2024-07-23,513090,493
2024-07-24,513090,494
2024-07-25,513090,495
2024-07-26,513090,496
2024-07-29,513090,497
2024-07-30,513090,498
2024-07-31,513090,499
2024-08-01,,500
2024-08-02,513120,501
2024-08-05,513120,502
2024-08-06,513120,503
2024-08-07,513090,504
2024-08-08,513090,505
2024-08-09,513120,506
2024-08-12,513120,507
2024-08-13,513120,508
2024-08-14,513120,509
2024-08-15,513120,510
2024-08-16,513120,511
2024-08-19,513120,512
2024-08-20,159516,513
2024-08-21,513120,514
2024-08-22,513120,515
2024-08-23,159516,516
2024-08-26,159516,517
2024-08-27,513120,518
2024-08-28,159516,519
2024-08-29,513090,520
2024-08-30,513090,521
2024-09-02,513090,522
2024-09-03,513120,523
2024-09-04,513090,524
2024-09-05,513090,525
2024-09-06,513090,526
2024-09-09,513090,527
2024-09-10,513090,528
2024-09-11,513090,529
2024-09-12,513090,530
2024-09-13,513090,531
2024-09-18,513090,532
2024-09-19,159516,533
2024-09-20,513120,534
2024-09-23,513120,535
2024-09-24,513120,536
2024-09-25,513120,537
2024-09-26,513120,538
2024-09-27,,539
2024-09-30,,540
2024-10-08,,541
2024-10-09,513090,542
2024-10-10,513090,543
2024-10-11,513090,544
2024-10-14,513090,545
2024-10-15,513090,546
2024-10-16,513090,547
2024-10-17,513090,548
2024-10-18,513090,549
2024-10-21,,550
2024-10-22,,551
2024-10-23,,552
2024-10-24,,553
2024-10-25,159516,554
2024-10-28,159516,555
2024-10-29,,556
2024-10-30,,557
2024-10-31,159516,558
2024-11-01,,559
2024-11-04,,560
2024-11-05,,561
2024-11-06,513120,562
2024-11-07,159516,563
2024-11-08,159516,564
2024-11-11,159516,565
2024-11-12,513120,566
2024-11-13,159516,567
2024-11-14,513120,568
2024-11-15,159516,569
2024-11-18,159516,570
2024-11-19,159516,571
2024-11-20,159516,572
2024-11-21,159516,573
2024-11-22,,574
2024-11-25,,575
2024-11-26,,576
