datetime,target_code,bar_idx
2010-01-04,,0
2010-01-05,,1
2010-01-06,,2
2010-01-07,,3
2010-01-08,,4
2010-01-11,,5
2010-01-12,,6
2010-01-13,,7
2010-01-14,,8
2010-01-15,,9
2010-01-18,,10
2010-01-19,,11
2010-01-20,,12
2010-01-21,,13
2010-01-22,,14
2010-01-25,,15
2010-01-26,,16
2010-01-27,,17
2010-01-28,,18
2010-01-29,,19
2010-02-01,,20
2010-02-02,,21
2010-02-03,,22
2010-02-04,,23
2010-02-05,,24
2010-02-08,,25
2010-02-09,,26
2010-02-10,,27
2010-02-11,,28
2010-02-12,,29
2010-02-22,,30
2010-02-23,,31
2010-02-24,,32
2010-02-25,,33
2010-02-26,,34
2010-03-01,,35
2010-03-02,,36
2010-03-03,,37
2010-03-04,,38
2010-03-05,,39
2010-03-08,,40
2010-03-09,,41
2010-03-10,,42
2010-03-11,,43
2010-03-12,,44
2010-03-15,,45
2010-03-16,,46
2010-03-17,,47
2010-03-18,,48
2010-03-19,,49
2010-03-22,,50
2010-03-23,,51
2010-03-24,,52
2010-03-25,,53
2010-03-26,,54
2010-03-29,,55
2010-03-30,,56
2010-03-31,,57
2010-04-01,,58
2010-04-02,,59
2010-04-06,,60
2010-04-07,,61
2010-04-08,,62
2010-04-09,,63
2010-04-12,,64
2010-04-13,,65
2010-04-14,,66
2010-04-15,,67
2010-04-16,,68
2010-04-19,,69
2010-04-20,,70
2010-04-21,,71
2010-04-22,,72
2010-04-23,,73
2010-04-26,,74
2010-04-27,,75
2010-04-28,,76
2010-04-29,,77
2010-04-30,,78
2010-05-04,,79
2010-05-05,,80
2010-05-06,,81
2010-05-07,,82
2010-05-10,,83
2010-05-11,,84
2010-05-12,,85
2010-05-13,,86
2010-05-14,,87
2010-05-17,,88
2010-05-18,,89
2010-05-19,,90
2010-05-20,,91
2010-05-21,,92
2010-05-24,,93
2010-05-25,,94
2010-05-26,,95
2010-05-27,,96
2010-05-28,,97
2010-05-31,,98
2010-06-01,,99
2010-06-02,,100
2010-06-03,,101
2010-06-04,,102
2010-06-07,,103
2010-06-08,,104
2010-06-09,,105
2010-06-10,,106
2010-06-11,,107
2010-06-17,,108
2010-06-18,,109
2010-06-21,,110
2010-06-22,,111
2010-06-23,,112
2010-06-24,,113
2010-06-25,,114
2010-06-28,,115
2010-06-29,,116
2010-06-30,,117
2010-07-01,,118
2010-07-02,,119
2010-07-05,,120
2010-07-06,,121
2010-07-07,,122
2010-07-08,,123
2010-07-09,,124
2010-07-12,,125
2010-07-13,,126
2010-07-14,,127
2010-07-15,,128
2010-07-16,,129
2010-07-19,,130
2010-07-20,,131
2010-07-21,,132
2010-07-22,,133
2010-07-23,,134
2010-07-26,,135
2010-07-27,,136
2010-07-28,510050,137
2010-07-29,510050,138
2010-07-30,510050,139
2010-08-02,510050,140
2010-08-03,510050,141
2010-08-04,510050,142
2010-08-05,510050,143
2010-08-06,510050,144
2010-08-09,510050,145
2010-08-10,510050,146
2010-08-11,510050,147
2010-08-12,510050,148
2010-08-13,,149
2010-08-16,,150
2010-08-17,,151
2010-08-18,,152
2010-08-19,,153
2010-08-20,,154
2010-08-23,,155
2010-08-24,,156
2010-08-25,,157
2010-08-26,,158
2010-08-27,,159
2010-08-30,,160
2010-08-31,,161
2010-09-01,510050,162
2010-09-02,,163
2010-09-03,,164
2010-09-06,,165
2010-09-07,,166
2010-09-08,,167
2010-09-09,510050,168
2010-09-10,510050,169
2010-09-13,510050,170
2010-09-14,510050,171
2010-09-15,510050,172
2010-09-16,510050,173
2010-09-17,,174
2010-09-20,,175
2010-09-21,,176
2010-09-27,,177
2010-09-28,510050,178
2010-09-29,,179
2010-09-30,,180
2010-10-08,510050,181
2010-10-11,510050,182
2010-10-12,510050,183
2010-10-13,510050,184
2010-10-14,510050,185
2010-10-15,510050,186
2010-10-18,510050,187
2010-10-19,510050,188
2010-10-20,510050,189
2010-10-21,510050,190
2010-10-22,510050,191
2010-10-25,510050,192
2010-10-26,510050,193
2010-10-27,510050,194
2010-10-28,,195
2010-10-29,,196
2010-11-01,,197
2010-11-02,,198
2010-11-03,,199
2010-11-04,,200
2010-11-05,510050,201
2010-11-08,510050,202
2010-11-09,510050,203
2010-11-10,510050,204
2010-11-11,510050,205
2010-11-12,510050,206
2010-11-15,510050,207
2010-11-16,510050,208
2010-11-17,510050,209
2010-11-18,,210
2010-11-19,,211
2010-11-22,,212
2010-11-23,,213
2010-11-24,,214
2010-11-25,,215
2010-11-26,,216
2010-11-29,,217
2010-11-30,,218
2010-12-01,,219
2010-12-02,,220
2010-12-03,,221
2010-12-06,,222
2010-12-07,,223
2010-12-08,,224
2010-12-09,,225
2010-12-10,510050,226
2010-12-13,510050,227
2010-12-14,510050,228
2010-12-15,510050,229
2010-12-16,,230
2010-12-17,,231
2010-12-20,510050,232
2010-12-21,510050,233
2010-12-22,510050,234
2010-12-23,510050,235
2010-12-24,510050,236
2010-12-27,510050,237
2010-12-28,,238
2010-12-29,,239
2010-12-30,,240
2010-12-31,,241
2011-01-04,510050,242
2011-01-05,510050,243
2011-01-06,510050,244
2011-01-07,510050,245
2011-01-10,,246
2011-01-11,,247
2011-01-12,,248
2011-01-13,,249
2011-01-14,,250
2011-01-17,510050,251
2011-01-18,,252
2011-01-19,,253
2011-01-20,,254
2011-01-21,510050,255
2011-01-24,510050,256
2011-01-25,510050,257
2011-01-26,,258
2011-01-27,,259
2011-01-28,,260
2011-01-31,,261
2011-02-01,,262
2011-02-09,510050,263
2011-02-10,510050,264
2011-02-11,510050,265
2011-02-14,510050,266
2011-02-15,510050,267
2011-02-16,510050,268
2011-02-17,510050,269
2011-02-18,510050,270
2011-02-21,510050,271
2011-02-22,510050,272
2011-02-23,,273
2011-02-24,,274
2011-02-25,510050,275
2011-02-28,510050,276
2011-03-01,,277
2011-03-02,,278
2011-03-03,,279
2011-03-04,,280
2011-03-07,,281
2011-03-08,,282
2011-03-09,,283
2011-03-10,,284
2011-03-11,,285
2011-03-14,,286
2011-03-15,510050,287
2011-03-16,,288
2011-03-17,,289
2011-03-18,,290
2011-03-21,,291
2011-03-22,,292
2011-03-23,,293
2011-03-24,,294
2011-03-25,510050,295
2011-03-28,,296
2011-03-29,,297
2011-03-30,,298
2011-03-31,,299
2011-04-01,,300
2011-04-06,,301
2011-04-07,510050,302
2011-04-08,510050,303
2011-04-11,510050,304
2011-04-12,510050,305
2011-04-13,510050,306
2011-04-14,510050,307
2011-04-15,510050,308
2011-04-18,510050,309
2011-04-19,510050,310
2011-04-20,,311
2011-04-21,,312
2011-04-22,,313
2011-04-25,510050,314
2011-04-26,,315
2011-04-27,,316
2011-04-28,,317
2011-04-29,,318
2011-05-03,,319
2011-05-04,,320
2011-05-05,,321
2011-05-06,,322
2011-05-09,,323
2011-05-10,,324
2011-05-11,,325
2011-05-12,510050,326
2011-05-13,510050,327
2011-05-16,510050,328
2011-05-17,510050,329
2011-05-18,510050,330
2011-05-19,,331
2011-05-20,,332
2011-05-23,510050,333
2011-05-24,,334
2011-05-25,,335
2011-05-26,,336
2011-05-27,510050,337
2011-05-30,510050,338
2011-05-31,510050,339
2011-06-01,510050,340
2011-06-02,510050,341
2011-06-03,510050,342
2011-06-07,,343
2011-06-08,,344
2011-06-09,,345
2011-06-10,,346
2011-06-13,,347
2011-06-14,,348
2011-06-15,,349
2011-06-16,,350
2011-06-17,,351
2011-06-20,,352
2011-06-21,,353
2011-06-22,,354
2011-06-23,,355
2011-06-24,510050,356
2011-06-27,510050,357
2011-06-28,510050,358
2011-06-29,510050,359
2011-06-30,510050,360
2011-07-01,510050,361
2011-07-04,510050,362
2011-07-05,510050,363
2011-07-06,510050,364
2011-07-07,,365
2011-07-08,,366
2011-07-11,,367
2011-07-12,510050,368
2011-07-13,,369
2011-07-14,,370
2011-07-15,510050,371
2011-07-18,510050,372
2011-07-19,510050,373
2011-07-20,510050,374
2011-07-21,510050,375
2011-07-22,,376
2011-07-25,510050,377
2011-07-26,,378
2011-07-27,510050,379
2011-07-28,510050,380
2011-07-29,510050,381
2011-08-01,,382
2011-08-02,,383
2011-08-03,,384
2011-08-04,,385
2011-08-05,510050,386
2011-08-08,510050,387
2011-08-09,510050,388
2011-08-10,,389
2011-08-11,,390
2011-08-12,,391
2011-08-15,,392
2011-08-16,,393
2011-08-17,,394
2011-08-18,,395
2011-08-19,,396
2011-08-22,,397
2011-08-23,,398
2011-08-24,,399
2011-08-25,510050,400
2011-08-26,510050,401
2011-08-29,510050,402
2011-08-30,510050,403
2011-08-31,,404
2011-09-01,,405
2011-09-02,,406
2011-09-05,510050,407
2011-09-06,510050,408
2011-09-07,510050,409
2011-09-08,510050,410
2011-09-09,510050,411
2011-09-13,510050,412
2011-09-14,510050,413
2011-09-15,,414
2011-09-16,,415
2011-09-19,510050,416
2011-09-20,,417
2011-09-21,510050,418
2011-09-22,510050,419
2011-09-23,,420
2011-09-26,,421
2011-09-27,,422
2011-09-28,510050,423
2011-09-29,510050,424
