date,action,code,price,shares,amount,cost,reason
2010-07-28,BUY,510050,2.018,4707.63131813677,9500.0,5.7,信号
2010-08-13,SELL,510050,1.961,4707.63131813677,9231.665014866205,5.538999008919723,换仓
2010-09-01,BUY,510050,1.948,3759.1690249939543,7322.8612606882225,4.393716756412934,信号
2010-09-02,SELL,510050,1.967,3759.1690249939543,7394.285472163108,4.436571283297865,换仓
2010-09-09,BUY,510050,1.951,3924.5840424651697,7656.863466849546,4.594118080109728,信号
2010-09-17,SELL,510050,1.891,3924.5840424651697,7421.3884243016355,4.4528330545809816,换仓
2010-09-28,BUY,510050,1.897,3359.4772926736828,6372.928424201977,3.823757054521186,信号
2010-09-29,SELL,510050,1.903,3359.4772926736828,6393.085287958018,3.8358511727748112,换仓
2010-10-08,BUY,510050,2.026,3177.2905548654294,6437.19066415736,3.8623143984944157,信号
2010-10-28,SELL,510050,2.247,3177.2905548654294,7139.371876782619,4.283623126069572,换仓
2010-11-05,BUY,510050,2.303,3724.875063622096,8578.387271521688,5.147032362913013,信号
2010-11-16,SELL,510050,2.02,3724.875063622096,7524.247628516634,4.514548577109981,回撤熔断(-12.47%)
