date,open,high,low,close,volume,amount
2023-07-27,0.249,0.25,0.245,0.246,3363979.0,334017930.151
2023-07-28,0.246,0.249,0.245,0.247,924394.0,91288694.236
2023-07-31,0.247,0.251,0.247,0.25,2169988.0,216643511.586
2023-08-01,0.25,0.251,0.248,0.25,689488.0,68868153.557
2023-08-02,0.25,0.253,0.249,0.251,2370511.0,238447027.0
2023-08-03,0.249,0.253,0.249,0.251,568125.0,57083838.905
2023-08-04,0.251,0.252,0.248,0.25,506768.0,50578550.931
2023-08-07,0.249,0.25,0.249,0.249,351849.0,35117840.947
2023-08-08,0.249,0.25,0.248,0.248,426170.0,42363777.21
2023-08-09,0.248,0.248,0.246,0.246,369437.0,36425490.489
2023-08-10,0.246,0.25,0.246,0.248,366434.0,36348202.15
2023-08-11,0.248,0.248,0.243,0.243,509868.0,49882728.37
2023-08-14,0.241,0.242,0.238,0.241,343982.0,33010890.194
2023-08-15,0.241,0.242,0.234,0.237,843631.0,79838863.67
2023-08-16,0.237,0.238,0.233,0.233,644171.0,60363582.749
2023-08-17,0.234,0.235,0.231,0.235,862187.0,80471950.163
2023-08-18,0.234,0.236,0.232,0.232,883468.0,82743995.372
2023-08-21,0.231,0.233,0.229,0.23,480867.0,44449531.429
2023-08-22,0.229,0.231,0.225,0.231,560096.0,51021702.274
2023-08-23,0.23,0.231,0.224,0.224,406089.0,36747148.702
2023-08-24,0.225,0.231,0.224,0.227,450888.0,40996507.874
2023-08-25,0.226,0.226,0.222,0.223,471923.0,42232852.579
2023-08-28,0.234,0.236,0.222,0.223,558050.0,50811157.89
2023-08-29,0.223,0.233,0.222,0.233,774920.0,71050155.597
2023-08-30,0.238,0.243,0.236,0.24,694307.0,66431415.035
2023-08-31,0.24,0.245,0.238,0.245,988074.0,96080004.064
2023-09-01,0.245,0.249,0.242,0.243,850381.0,83226096.826
2023-09-04,0.244,0.247,0.24,0.245,826149.0,79918844.674
2023-09-05,0.245,0.248,0.244,0.245,826951.0,81247943.875
2023-09-06,0.245,0.254,0.243,0.253,1914957.0,191501011.43
2023-09-07,0.251,0.251,0.242,0.242,1477845.0,145306193.164
2023-09-08,0.241,0.247,0.24,0.244,1227290.0,120048915.875
2023-09-11,0.243,0.247,0.242,0.244,786448.0,76765683.244
2023-09-12,0.243,0.244,0.241,0.242,597561.0,57926764.579
2023-09-13,0.241,0.244,0.238,0.24,633879.0,60823531.859
2023-09-14,0.238,0.24,0.235,0.236,704433.0,66537987.72
