code,name,amount,list_date,avg_amount
511880,银华日利ETF,27338836645.0,2013-04-18,27338836645.0
511990,华宝添益ETF,15311669558.0,2013-01-28,15311669558.0
513310,中韩半导体ETF华泰柏瑞,12343316075.0,2022-12-22,12343316075.0
588000,科创50ETF华夏,8020686565.0,2020-11-16,8020686565.0
588170,科创半导体ETF华夏,7024895253.0,2025-04-08,7024895253.0
513120,港股创新药ETF广发,6979143077.0,2022-07-12,6979143077.0
563360,A500ETF华泰柏瑞,4054942668.0,2024-10-15,4054942668.0
159516,半导体设备ETF国泰,3850970616.638,2023-07-27,3850970616.638
588200,科创芯片ETF嘉实,3201197428.0,2022-10-26,3201197428.0
513090,香港证券ETF易方达,3009838301.0,2020-03-26,3009838301.0
159352,A500ETF南方,2968563762.473,2024-10-15,2968563762.473
