date,action,code,price,shares,amount,cost,reason
2022-07-14,BUY,513090,1.077,8820.79851439183,9500.0,5.7,信号
2022-07-15,SELL,513090,1.065,8820.79851439183,9394.150417827299,5.636490250696379,换仓
2022-07-25,BUY,513090,1.07,8260.3386547499,8838.562360582393,5.303137416349436,信号
2022-07-27,SELL,513090,1.079,8260.3386547499,8912.90540847514,5.347743245085084,换仓
2022-07-28,BUY,513090,1.085,8398.43815529238,9112.305398492234,5.467383239095341,信号
2022-08-01,SELL,513090,1.062,8398.43815529238,8919.14132092051,5.351484792552306,换仓
2022-08-02,BUY,513090,1.035,7713.1872441222,7983.148797666477,4.789889278599886,信号
2022-08-08,SELL,513090,1.062,7713.1872441222,8191.404853257777,4.914842911954667,换仓
2022-08-16,BUY,513090,1.075,8448.118199706623,9081.72706468462,5.449036238810772,信号
2022-08-25,SELL,513090,1.077,8448.118199706623,9098.623301084033,5.45917398065042,换仓
2022-08-26,BUY,513090,1.079,8448.04389117333,9115.439358576024,5.469263615145614,信号
2022-08-29,SELL,513090,1.078,8448.04389117333,9106.991314684852,5.464194788810912,换仓
2022-08-30,BUY,513090,1.073,8393.705063437803,9006.445533068762,5.4038673198412575,信号
2022-09-21,SELL,513090,1.014,8393.705063437803,8511.216934325932,5.106730160595559,换仓
2022-09-22,BUY,513090,1.002,6275.74071436381,6288.292195792538,3.772975317475523,信号
2022-09-23,SELL,513090,1.003,6275.74071436381,6294.567936506901,3.776740761904141,换仓
2022-10-21,BUY,513090,0.947,6633.31714126418,6281.751332777178,3.769050799666307,信号
2022-10-26,SELL,513090,0.892,6633.31714126418,5916.918890007648,3.550151334004589,换仓
2022-11-11,BUY,513090,0.979,4532.112269774922,4436.937912109649,2.6621627472657896,信号
2022-11-16,SELL,513090,1.026,4532.112269774922,4649.94718878907,2.7899683132734423,换仓
2022-11-21,BUY,513090,1.008,5406.381561391498,5449.63261388263,3.2697795683295783,信号
2022-12-09,SELL,513090,1.103,5406.381561391498,5963.238862214822,3.5779433173288933,换仓
2022-12-12,BUY,513090,1.094,7398.354522561716,8093.799847682518,4.856279908609511,信号
2022-12-13,SELL,513090,1.095,7398.354522561716,8101.198202205079,4.8607189213230475,换仓
2022-12-14,BUY,513090,1.097,7366.588003938496,8081.147040320529,4.848688224192317,信号
2022-12-15,SELL,513090,1.078,7366.588003938496,7941.181868245699,4.764709120947419,换仓
2022-12-16,BUY,513090,1.077,6755.498576980858,7275.671967408384,4.365403180445031,信号
2022-12-19,SELL,513090,1.06,6755.498576980858,7160.82849159971,4.296497094959826,换仓
2022-12-20,BUY,513090,1.044,6347.310228314691,6626.5918783605375,3.9759551270163227,信号
2022-12-21,SELL,513090,1.046,6347.310228314691,6639.286498817167,3.9835718992903004,换仓
2022-12-30,BUY,513090,1.075,6187.172477304353,6651.21041310218,3.990726247861308,信号
2023-02-06,SELL,513090,1.114,6187.172477304353,6892.51013971705,4.13550608383023,换仓
2023-02-28,BUY,513090,1.1,6543.440883744294,7197.784972118724,4.318670983271235,信号
2023-03-16,SELL,513090,1.062,6543.440883744294,6949.134218536441,4.169480531121865,换仓
2023-03-24,BUY,513090,1.087,5401.015640651677,5870.904001388373,3.522542400833024,信号
2023-03-27,SELL,513090,1.083,5401.015640651677,5849.299938825766,3.5095799632954594,换仓
2023-03-29,BUY,513090,1.085,5278.301099026214,5726.956692443442,3.4361740154660656,信号
2023-03-31,SELL,513090,1.091,5278.301099026214,5758.626499037599,3.4551758994225596,换仓
2023-04-03,BUY,513090,1.111,5266.8474281699455,5851.467492696809,3.5108804956180855,信号
2023-04-06,SELL,513090,1.096,5266.8474281699455,5772.4647812742605,3.4634788687645566,换仓
2023-04-06,BUY,513120,0.895,6074.922755124207,5437.055865836165,3.262233519501699,信号
2023-04-07,SELL,513120,0.946,6074.922755124207,5746.876926347499,3.4481261558084992,换仓
2023-04-10,BUY,513090,1.11,6276.646079265445,6967.077147984645,4.180246288790787,信号
2023-04-17,SELL,513090,1.153,6276.646079265445,7236.972929393059,4.342183757635835,换仓
2023-04-17,BUY,513120,0.975,8603.617435501168,8388.52699961364,5.033116199768184,信号
2023-04-18,SELL,513120,0.97,8603.617435501168,8345.508912436133,5.0073053474616795,换仓
